"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",4,"Chen and Pannell (2024)","0; Intact","relative reproductive success","Stamen_number_func",0.554837041019927,12.7630093812475,0.756,120,-0.124251738645199,0.0872961848807864,-0.28713681089107,0.045825470762793,1129.1181122677,0.156,0.0512805950626288,0.0627702728678397,-0.0755030496929976,0.168990667594699,1000,0.394
"2",4,"Chen and Pannell (2024)","0; Intact","relative reproductive success","Pistil_number",-2.61696206853023,35.5317601633352,0.513,120,0.548707720195258,0.100171270653654,0.362378316371178,0.755490121417097,1000,0.001,0.0885994183799132,0.0620056554175603,-0.0344716638792306,0.200895852394751,1000,0.188
"3",4,"Chen and Pannell (2024)","0; Intact","relative reproductive success","Flowering_date",-0.625945077875736,130.270249894795,0.62,120,0.222350094385423,0.0754963219528153,0.0822991660170374,0.369292067960487,1000,0.004,0.00368744097344638,0.0764696567702619,-0.147395973348466,0.142335044780339,1000,0.944
"4",4,"Chen and Pannell (2024)","0; Intact","relative reproductive success","Petal_length",0.134554265894069,10.2944122546929,0.841,120,0.0260565896589499,0.0760495723095983,-0.132108615535799,0.170814098833944,1000,0.72,-0.0207633468157511,0.0439088414257752,-0.108364889019867,0.0596619764255593,999.999999999999,0.656
"5",4,"Chen and Pannell (2024)","0; Intact","relative reproductive success","Stalk_height",-0.382926157381688,216.143782153803,0.763,120,-0.103748411590612,0.0939497251386904,-0.285706851813302,0.0863663544078008,1000,0.258,-0.0201550087636843,0.0605647641161823,-0.133811779036478,0.0970761504941038,1000,0.746
"6",4,"Chen and Pannell (2024)","0; Intact","mature seed number","Stamen_number_func",0.367919607214198,169.226985254537,0.883,120,-0.105889603339247,0.104268669328569,-0.288148744068167,0.114629481329757,999.999999999999,0.312,0.108314248226352,0.0744090033490054,-0.0336889407917624,0.247579417999077,999.999999999999,0.144
"7",4,"Chen and Pannell (2024)","0; Intact","mature seed number","Pistil_number",1.72719998445856,1.82107027028763,0.863,120,0.728737752765561,0.116862770725884,0.507077890157234,0.950581408338621,1000,0.001,-0.207456806635994,0.0705756337443342,-0.349507278915553,-0.0805994098627707,825.207382364131,0.001
"8",4,"Chen and Pannell (2024)","0; Intact","mature seed number","Flowering_date",1.39685998324887,44.1242881481875,0.588,120,0.358392196645922,0.0942703270683031,0.175145507979323,0.543524313092348,999.999999999999,0.001,-0.0557087269407311,0.0923104949845917,-0.240239630977158,0.119297532990458,1000,0.54
"9",4,"Chen and Pannell (2024)","0; Intact","mature seed number","Petal_length",-0.162567120439166,12.16750833872,0.925,120,-0.0255949863071337,0.0930541179600094,-0.195998725008394,0.166120287176454,1000,0.776,-0.074028598105331,0.0509002810947551,-0.178652063434129,0.0216536850712146,1000,0.126
"10",4,"Chen and Pannell (2024)","0; Intact","mature seed number","Stalk_height",0.289045726193846,93.5522710541465,0.755,120,-0.134444889185504,0.107655477511691,-0.336540405405685,0.0737195605615852,1000,0.22,0.0188692265137084,0.0724809276070498,-0.11235287146701,0.160590226660133,1000,0.788
