"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Mean floral display size",-0.0406193551153769,18.9427109266349,0.88,893,-5186.06300006914,96978.0066340818,-188183.838709404,181765.591755083,999.999999999999,0.942,2327.67612842633,100947.049160895,-194800.664263798,196283.445971577,1015.95340258979,0.938
"2",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Alkaloids (ug/g)",-0.0218401892555595,26.1020154465801,0.887,893,-6157.193321496,97686.8741646025,-190742.355545742,180007.350171281,986.894052639851,0.966,4359.5443235844,100499.620668525,-185100.669615559,194780.906403103,913.445130143598,0.97
"3",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Mean Corolla Length (mm)",-0.0119700895157591,15.6464777370934,0.891,893,-2371.48774521582,99460.2500751501,-196549.033332394,186545.111198901,1000,0.986,1230.39952501133,96505.1569303633,-204647.993634667,175730.644931734,999.999999999999,0.972
"4",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Mean Corolla Width (mm)",-0.00508269112681562,52.8913155778307,0.89,893,1297.1138983865,97917.6395394193,-204164.029988616,188100.505566687,908.482613582884,0.952,2142.87621087545,98099.3001912018,-180452.466613706,191598.491402958,1000,0.984
"5",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Mean Petal Length (mm)",-0.00518139834836266,4.29302165395779,0.903,893,-6595.40177104624,97981.9572267559,-181571.643978706,213059.552893342,1163.93701519543,0.92,-2264.93131018886,99852.367902295,-197800.077353636,192682.93987411,999.999999999999,0.942
"6",18,"Irwin, Warren and Adler (2018)","BM","total seed number","Mean Petal Width (mm)",0.00975764883530917,11.9912726100479,0.899,893,-1657.16813521385,100587.00046551,-206213.423641005,178040.239302483,1000,0.99,2637.49681688771,96733.4061069568,-184665.942432348,190100.764488306,1000,0.996
"7",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Mean floral display size",-0.0176399150955832,23.0825545551484,0.902,893,1228.89333944435,100826.049449175,-191897.435397809,197811.014946895,1105.76448733627,1,1318.09969965076,99256.4120272617,-172290.757063132,219070.970351054,1000,0.986
"8",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Alkaloids (ug/g)",-0.00630390238845325,4.71507067833234,0.906,893,-4096.28395056993,98947.802240574,-212430.36112984,184655.475760356,1000,0.994,-3434.21648776926,100713.86912928,-197439.820814551,193553.344205438,1000,0.974
"9",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Mean Corolla Length (mm)",0.027021745346038,37.7334623506539,0.887,893,-6244.61378650899,98675.927972922,-182996.486198795,195493.310596428,999.999999999999,0.962,5651.29586253365,98751.6391725815,-193045.032756574,195973.17669693,1000,0.946
"10",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Mean Corolla Width (mm)",-0.00727277736030557,19.6151938172834,0.889,893,1317.54746788767,102808.37250363,-195134.482896969,205206.830115586,999.999999999999,0.98,84.790283285881,97805.142992208,-182751.135387826,195721.7431132,1000,0.988
"11",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Mean Petal Length (mm)",-0.00415714048967384,138.48581486293,0.894,893,-5920.59144294246,98104.2672479082,-191321.325557474,189128.243229598,1000,0.948,4435.08928994978,98343.3842436541,-191456.319949307,184065.199152493,1000,0.952
"12",18,"Irwin, Warren and Adler (2018)","CB","total seed number","Mean Petal Width (mm)",0.00241506367834578,7.34767398829035,0.91,893,-4291.43876451806,99482.13267199,-183757.843333327,203320.802627593,1000,0.908,-3391.08560444865,96371.8006096648,-169667.422234965,196951.313908584,1000,0.964
"13",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Mean floral display size",0.000273749227100413,37.2637704081572,0.883,893,-82.9517697168059,102387.056642388,-191074.255962452,202046.469669729,1000,0.958,-2953.22373580094,96402.5691258409,-187655.374523514,180423.003084475,1000,0.962
"14",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Alkaloids (ug/g)",0.00661593203399733,7.33402652140246,0.886,893,1826.15870666337,99358.2278992148,-182835.243332383,201995.198112419,1094.38575096285,0.986,2728.9989754646,101061.200801403,-193364.451631911,201340.120003192,1344.14247647399,0.98
"15",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Mean Corolla Length (mm)",-0.0532664104459681,17.1743198814547,0.892,893,1377.63297591001,100884.197112253,-196976.265862095,196536.192537747,1000,0.978,-1401.64398550193,99816.5181183739,-206039.827566543,195545.30959398,1144.77909844059,0.982
"16",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Mean Corolla Width (mm)",0.0159183322424297,22.4457001820535,0.903,893,1374.69238872294,97776.487721039,-177949.711531315,190598.841120624,999.999999999999,0.994,-249.583243879919,99735.3432710465,-200811.471607589,173478.527678742,1000,0.97
"17",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Mean Petal Length (mm)",-0.0189006819626434,12.5116652048654,0.897,893,-1264.60802936971,100268.208237209,-223201.281936542,178181.992323486,1000,0.996,437.092349142672,102389.729980919,-194553.343119204,191496.577681386,807.050604213603,0.992
"18",18,"Irwin, Warren and Adler (2018)","CW","total seed number","Mean Petal Width (mm)",-0.000429930786810961,1667.77568720252,0.9,893,281.354245493725,101317.447756313,-181062.788834123,202695.335121833,1000,0.96,5390.39582509203,101833.74362401,-210381.314110436,172332.588985235,999.999999999999,0.944
"19",18,"Irwin, Warren and Adler (2018)","EF","total seed number","Mean floral display size",-0.00955767150745213,392.29765410535,0.893,893,-6746.89827473737,97546.5990916786,-178501.006917048,197082.699716718,999.999999999999,0.952,-1250.24280257728,100956.013322284,-208028.218103621,186286.970837048,1000,0.968
"20",18,"Irwin, Warren and Adler (2018)","EF","total seed number","Alkaloids (ug/g)",-0.0177325082378324,13.9031985246719,0.899,893,-600.28131196398,101561.225473605,-198298.886766405,200363.79818095,1000,0.984,2234.20713824641,102468.818343124,-191382.940020204,205275.632032434,1000,0.99
"21",18,"Irwin, Warren and Adler (2018)","EF","total seed number","Mean Corolla Length (mm)",0.0169818805655887,9.42850888388926,0.895,893,2599.41398761761,98065.9485642638,-190146.451222498,188116.384348319,1000,0.962,-4409.57826726163,99576.5626655927,-190418.083528915,203497.503445745,1000,0.942
