"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",8,"Blanco-Sánchez et al. (2022)","","total seed number","mean_leafarea",1.03090109147885,0.775914347835577,0.974,109,-0.456337797131974,0.145179014745597,-0.760291319951648,-0.19253068373655,999.999999999999,0.001,0.220554527441824,0.0800334995347856,0.0629364239575807,0.378075676882872,1179.18444294407,0.004
"2",8,"Blanco-Sánchez et al. (2022)","","total seed number","mean_leafthickness",1.49868936067727,421.752135378648,0.494,109,0.390695051714604,0.175464342990831,0.032652435489581,0.724041127446981,999.999999999999,0.026,-0.0393655262428756,0.0864722627149937,-0.217750543903094,0.12188896141015,1000,0.628
"3",8,"Blanco-Sánchez et al. (2022)","","total seed number","sla",-0.00818619278714917,106.846000144095,0.816,109,0.0467568884025253,0.280570687072213,-0.500008240487659,0.573336733330507,1000,0.856,0.108745357425083,0.0837586089323597,-0.0394723935241927,0.280882935825502,1000,0.194
"4",8,"Blanco-Sánchez et al. (2022)","","total seed number","ldmc",-1.39963367641549,38.1596942213855,0.676,109,-0.174593557717787,0.238627500763445,-0.603509290544025,0.310318312120216,913.400295150604,0.478,-0.0477582409732626,0.0599648032153368,-0.17458265294772,0.0599850269063609,1000,0.418
"5",8,"Blanco-Sánchez et al. (2022)","","total seed number","fl_onset",1.38882827153906,7.52709337245947,0.834,109,0.691783394168736,0.338901570993226,0.0400259699054004,1.35076791110623,1000,0.038,-0.238036044959057,0.128958097873258,-0.489731045927329,0.00261854728887556,858.666263035967,0.064
"6",8,"Blanco-Sánchez et al. (2022)","","total seed number","fl_duration",1.46095088725665,525.833874840719,0.586,109,0.375254632478572,0.188807420312483,0.0347664807777619,0.754005976828921,1000,0.052,-0.0780262188974049,0.0833246531885588,-0.250701343000401,0.0717402980662882,1000,0.354
"7",8,"Blanco-Sánchez et al. (2022)","","total seed number","fl_peak",0.486874294354276,25.6353127513343,0.859,109,0.0213127857960615,0.17297682938644,-0.287534252041951,0.383216544985771,999.999999999999,0.884,0.0262349575742052,0.100615872668931,-0.171215591075452,0.217143009518622,1094.32290780877,0.788
"8",8,"Blanco-Sánchez et al. (2022)","","total seed number","fr_onset",-0.022939917992678,39.939498218007,0.917,109,-0.0646704612639425,0.218130755266555,-0.528232583325007,0.337451852166851,1000,0.732,-0.15695185326017,0.177930848576136,-0.524319809373992,0.193098302726867,1000,0.37
"9",8,"Blanco-Sánchez et al. (2022)","","total seed number","fr_peak",0.822292877982256,36.1119537719068,0.773,109,0.208676144277962,0.158770676865052,-0.0863573010574328,0.521817240456585,882.958548967896,0.192,-0.0685908911378739,0.0933302763412326,-0.253669535690278,0.11106665569605,1015.77294750593,0.434
"10",8,"Blanco-Sánchez et al. (2022)","","total seed number","disp_onset",0.0988069486283322,77.4239964884376,0.615,109,-0.295179000288428,0.22397951440596,-0.736775380151812,0.173393857941846,1000,0.186,-0.0148247973209108,0.103943370788343,-0.235615405592398,0.166957059322158,1000,0.89
"11",8,"Blanco-Sánchez et al. (2022)","","total seed number","disp_peak",-1.00815097483813,7.19673025251613,0.851,109,-0.16766650431696,0.216389674986123,-0.61093401715334,0.226237392547773,1000,0.436,-0.0524399390351645,0.107400221237348,-0.25308736857005,0.168038322221037,939.282431675742,0.604
"12",8,"Blanco-Sánchez et al. (2022)","","total seed number","mean_senescence",0.804616590106433,34.1813201551544,0.884,109,0.177788403958417,0.185647530039651,-0.173463678282133,0.550672405011937,1121.76145664376,0.334,-0.0844322195192841,0.0973152993209377,-0.276393577340059,0.107138244442467,985.334779863989,0.348
"13",8,"Blanco-Sánchez et al. (2022)","","total seed number","fvfm1",-1.72899489001515,22.1712742990321,0.882,109,-0.380178837934482,0.277874605030119,-0.902500883850735,0.154769639470032,1000,0.158,-0.107959034988644,0.0803744611245894,-0.261009948597348,0.0535600760922534,1000,0.16
"14",8,"Blanco-Sánchez et al. (2022)","","total seed number","fvfm2",-0.127101734096187,146.397720045312,0.69,109,0.179996050690816,0.228666355938856,-0.27933442905578,0.626189139031339,1000,0.41,-0.0391874021317159,0.094338467341495,-0.228496900235768,0.145679679204477,1000,0.674
"15",8,"Blanco-Sánchez et al. (2022)","","total seed number","C",1.25106348198497,106.894189279451,0.773,109,0.188693376856733,0.16363357088378,-0.16551248729229,0.475430801772745,1305.30138061436,0.25,-0.0622150452266781,0.0600332762798404,-0.188401854265976,0.0533044492040062,1000,0.262
"16",8,"Blanco-Sánchez et al. (2022)","","total seed number","N",-0.920376560613778,32.6669465060106,0.761,109,0.272679108902068,0.153795020574506,-0.011559939432118,0.57484971251688,1000,0.0700000000000001,0.0978711642429385,0.0971223624136483,-0.0861563643286445,0.286069714857149,1000,0.316
"17",8,"Blanco-Sánchez et al. (2022)","","total seed number","d13C",-1.15495309498691,21.8169169597998,0.687,109,-0.199403487625781,0.170851906202081,-0.513595989057649,0.138536170081352,1000,0.236,-0.0617921822819836,0.0532328606154802,-0.168111585313454,0.0391536104434635,1000,0.214
"18",8,"Blanco-Sánchez et al. (2022)","","total seed number","d15N",-0.344253721030797,8.30488990098081,0.863,109,-0.140271538123139,0.154917894021842,-0.471901812838041,0.124621232927893,1000,0.372,-0.0658869491352444,0.125612952233217,-0.334962932640337,0.163661276441417,1000,0.598
"19",8,"Blanco-Sánchez et al. (2022)","","total seed number","spad1",0.131872908619775,19.8741670098561,0.871,109,-0.0550622169381631,0.147114143513098,-0.327351858803013,0.236098194829538,1142.30901011128,0.686,-0.0274382023610136,0.115119259057587,-0.249660665300325,0.197088640532456,1000,0.81
"20",8,"Blanco-Sánchez et al. (2022)","","total seed number","spad2",0.236782879105558,39.9211152949323,0.821,109,-0.119918098726603,0.131051099307892,-0.389033874642337,0.129124966988456,999.999999999999,0.362,0.0100061522183603,0.107071306491421,-0.211572094529402,0.205992683151635,1000,0.928
"21",8,"Blanco-Sánchez et al. (2022)","","total seed mass","mean_leafarea",1.01351776785206,1.4885332211031,0.959,107,-0.266928373650649,0.111711060850154,-0.490803126856918,-0.057063457701588,1000,0.024,0.130259261863954,0.0571510104753467,0.0241767167171929,0.242457283835392,999.999999999999,0.022
"22",8,"Blanco-Sánchez et al. (2022)","","total seed mass","mean_leafthickness",0.743156726884632,35.2482611320422,0.818,107,0.150155244376587,0.11972459432602,-0.079765858972678,0.37317237877869,999.999999999999,0.22,-0.0739212025682243,0.0646111472789017,-0.205408218345838,0.041160811582813,999.999999999999,0.236
"23",8,"Blanco-Sánchez et al. (2022)","","total seed mass","sla",0.55157127472823,23.9506809719026,0.729,107,0.0395391539723551,0.204688962311272,-0.328175688768169,0.465215991120203,832.273198307267,0.854,0.0337137201663449,0.0648050447085606,-0.0996829494833946,0.155977024100139,1000,0.618
"24",8,"Blanco-Sánchez et al. (2022)","","total seed mass","ldmc",-0.828064208676337,86.2249089732122,0.573,107,-0.0987622893317382,0.184349592937736,-0.451924087039515,0.268611776496982,1000,0.562,0.006831389017531,0.0448441596396352,-0.0818913873808924,0.089434437075397,999.999999999998,0.88
"25",8,"Blanco-Sánchez et al. (2022)","","total seed mass","fl_onset",0.448294666959491,6.12278889411325,0.893,107,0.138935073490649,0.250928994528995,-0.386119996928755,0.58487624447298,1000,0.566,-0.13727275624219,0.0937173986397698,-0.317249083585921,0.0544416082266252,999.999999999999,0.144
