"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"1",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC3",4.44864971529717,25.287098343779,0.086,1028,0.471652944164021,0.0324067681513365,0.399333778419532,0.529381462369201,999.999999999999,0.001,-0.0518549000524493,0.0207400441784318,-0.0956159587367438,-0.014131621683191,1000,0.018
"2",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC1",3.48637894984248,19.6477965701767,0.275,1028,0.23588385235039,0.042018010721181,0.153507281065686,0.319698152830824,1000,0.001,-0.0335211377830921,0.0135887147553347,-0.0579636848415248,-0.00644837020081468,1000,0.014
"3",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC2",1.39146941493215,43.9252057292916,0.67,1028,0.0314500014163625,0.0440303788798465,-0.0637447773769964,0.108316611207556,850.6203480181,0.448,-0.00108509013354836,0.0139908048652285,-0.0265224241320539,0.0282657149946317,902.707163271305,0.924
"4",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC4",0.472774435837515,14.0175683498721,0.93,1028,0.0226360187256273,0.0438369218202833,-0.0634531009709463,0.104378698493747,1000,0.612,-0.0252642288015052,0.0130087226153371,-0.0487197940819897,0.000106066781881964,1000,0.046
"5",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC5",1.18239485421303,55.4464500488724,0.791,1028,-0.0461970271499944,0.0364916549146287,-0.117872095885104,0.0212690305197611,1000,0.23,0.0132449907822681,0.016646584355373,-0.0208510140219005,0.0434075376533229,1000,0.434
"6",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC6",3.10557091385462,83.4683293509554,0.277,1028,-0.07058858697916,0.0484420132467206,-0.164826664491557,0.0264154769392917,1241.00899236249,0.142,0.00224456222682281,0.0105172520673694,-0.0161383558879606,0.0252020684129093,1237.78463340954,0.812
"7",21,"Gross, Sun and Schiestl","2010; lowland","fruit number","PC7",2.7924925482716,10.7491759008824,0.546,1028,0.0932728824926266,0.0635525608340617,-0.033933302933292,0.211877126694162,1000,0.154,-0.0160664580026082,0.0115966498460755,-0.0398246267905051,0.00523186982172774,1117.64730506756,0.154
"8",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC3",4.56561382305254,20.9514847189709,0.082,1028,0.472938668193945,0.0327186722673215,0.41572181029187,0.539885891448648,1000,0.001,-0.0516321276465368,0.0215951968745133,-0.093991019675741,-0.0105804407212418,999.999999999999,0.01
"9",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC1",3.52763096945668,26.2056494750364,0.281,1028,0.236711104148609,0.0424328814788621,0.155980474024545,0.318400326043047,867.259057723387,0.001,-0.0335972582051902,0.0140985356438588,-0.0610729850886855,-0.00759210475007421,1000,0.006
"10",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC2",1.20352869098658,153.610216515388,0.663,1028,0.0285754038895724,0.0461007263960418,-0.0578645344212418,0.125856686005136,1000,0.554,-0.000415574477819604,0.014153937417703,-0.0275453524227487,0.0266470404749271,1000,0.998
"11",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC4",0.539234720353113,74.3216580548574,0.941,1028,0.0240376989009994,0.0429862534648893,-0.0512198501837702,0.114072319498518,999.999999999999,0.566,-0.0251746320078027,0.0131469005670475,-0.0508077542763203,-0.000754112868889933,1000,0.042
"12",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC5",1.06912934482063,211.980455696919,0.798,1028,-0.0445553578108612,0.0383738275773661,-0.117991457067546,0.0303610095288604,889.596844819418,0.226,0.013528635211665,0.0175437452807709,-0.0190882696479093,0.0477963438606821,1117.28795599125,0.464
"13",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC6",3.15455060414674,192.979401968558,0.263,1028,-0.0695133386244386,0.0468609881655307,-0.157382733999839,0.0217915704997722,999.999999999999,0.126,0.00194975816264546,0.0101347952550245,-0.0177723765955307,0.0217540017692954,892.29985992054,0.856
"14",21,"Gross, Sun and Schiestl","2010; mountain","fruit number","PC7",2.76321995879967,14.1607062771858,0.543,1028,0.0927477921905814,0.0628089466952987,-0.0290818340145051,0.213151672420281,1000,0.122,-0.0157848670535764,0.0114498473395474,-0.0377630027705891,0.00519355168216862,999.999999999999,0.174
"15",21,"Gross, Sun and Schiestl","2011; lowland","fruit number","PC3",4.53741236972313,19.4815696593846,0.094,1028,0.473174399185448,0.0319404399076018,0.411742609227076,0.53725316436612,1000,0.001,-0.0518260119811827,0.0212701736566616,-0.0947039529855829,-0.0118922097317409,1000,0.014
"16",21,"Gross, Sun and Schiestl","2011; lowland","fruit number","PC1",3.50816755793719,7.69688232221643,0.268,1028,0.235995254504478,0.0430766065169543,0.157935001087026,0.325543645885773,848.882367276445,0.001,-0.033142311446348,0.0141585140888814,-0.057912657437555,-0.00347284688905347,873.876820793542,0.028
"17",21,"Gross, Sun and Schiestl","2011; lowland","fruit number","PC2",1.10246437835077,85.8741193390687,0.659,1028,0.0294862084651008,0.0446954605849654,-0.0544192394663696,0.121086094164639,1000,0.514,-0.000266691353815983,0.0139561925083609,-0.0276930978725431,0.0262043727998389,1000,0.962
