Ind_ID,Flower_ID,Stamen_number_func,Stamen_removal,Petal_length,Stalk_height,Flowering_date,Pistil_number,Total_typed_seed,Total_selfed_seed,Mature_seed_number,Relative_RS,Inbreeding_depression,Mature_seed_number_S,Relative_RS_S
843,843_2,151,Intact,2.75,35,163,86,9,2,24,0.268656726,0,29.33333333,0.23283805
103s,103s_1,195,Intact,2.76,40,155,260,14,11,62,0.694029877,0,110.7142857,0.878812444
106,106_1,0,SR100,3.15,42,155,241,8,0,61,1.118923808,0.95,61,1.082840301
107,107_1,146,Intact,2.86,40,155,164,12,12,4,0.073372053,0.95,12.46,0.159763323
108,108_1,0,SR100,2.53,48,155,255,7,0,48,0.880464636,0.95,48,0.852071056
109,109_1,134,Intact,3.06,48,155,309,14,9,86,1.577499139,0.95,98.37142854,1.650887672
113,113_1,204,Intact,2.8,34,163,76,5,0,32,0.586976424,0.95,32,0.568047371
114,114_1,83,SR50,3.14,36,161,277,12,0,163,2.989911159,0.95,163,2.893491295
117,117_1,115,Intact,2.83,20,155,171,12,6,59,1.082237782,0.95,64.41,1.100591781
119,119_1,98,SR50,3.1,41,153,175,12,10,19,0.348517252,0.95,26.06666669,0.408284048
122,122_1,180,Intact,3.12,27,148,5,3,3,0,0,0.95,0.7,0.01775148
126,126_1,0,SR100,3.2,45,163,242,10,0,127,2.329562682,0.95,127,2.254438003
127,127_1,166,Intact,2.91,33,148,223,12,4,51,0.935493676,0.95,53.50000002,0.940828458
130,130_1,163,Intact,2.75,40,155,248,11,8,29,0.531947384,0.95,35.20727275,0.568047371
131,131_1,144,Intact,2.71,33,153,200,8,8,2,0.036686026,0.95,5.88,0.071005921
134,134_1,199,Intact,2.55,25,150,131,12,10,17,0.311831225,0.95,22.95000002,0.355029607
135,135_1,103,Intact,2.64,29,148,179,15,12,12,0.220116159,0.95,15.912,0.248520725
138,138_1,269,Intact,2.75,38,148,190,11,9,13,0.238459172,0.95,16.89272728,0.266272205
139,139_1,80,SR50,2.87,21,148,18,3,3,0,0,0.95,1.12,0.01775148
140,140_1,144,Intact,2.77,35,153,241,14,14,3,0.05502904,0.95,8.68,0.106508882
