id,fr_set,n_seed,fitness,prop_seed_preyed,year,var,skew,kurt,avFD_v,n_fl_std,avFD_std,var_std,skew_std,kurt_std,fitness_rel,n_fl,n_mat_intact_fr,prop_seeds_escpred,n_fl_log,n_fl_log_std,npr_seeds,pr_seeds
1:1,0,0,0,NA,1987,0.9355682588571428,0.6005874145794917,2.8453579093516335,71.76408,1.0090317097547563,0.2590044219624605,0.4951271939136724,0.3412985957477799,0.476612981223554,0,15,0,NA,2.70805020110221,1.158277328938762,0,0
1:2,0.14285714285714285,13,13,0,1987,0.7345793053296704,0.2136786257577304,1.8062235471213943,69.75002857142857,0.8589439280719818,-0.20746391119431415,0.1460925762371803,-0.24081009585843105,-0.4742943553241146,2.0613801693136087,14,2,1,2.6390573296152584,1.0659702722763522,13,0
1:110,0,0,0,NA,1987,0,NA,NA,75.0484,-0.7920216704385368,1.0196758001705788,-1.129567615474595,NA,NA,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:3,0,0,0,NA,1987,0.31543126666666677,0.443716776449834,2.4298920395369925,71.41293333333333,-0.34175832539021356,0.17767640919679778,-0.5817940705510779,0.10528492908704865,0.09642197027095324,0,6,0,NA,1.791759469228055,-0.0676478816439698,0,0
1:5,0.2727272727272727,14,14,0,1987,0.6638243029090909,0.5485703747835251,2.0020010859447344,67.38683636363636,0.40868058302365856,-0.7547956796188234,0.02322042438436393,0.26303836529639224,-0.29513918082021195,2.219947874645425,11,3,1,2.3978952727983707,0.743314334588212,14,0
1:7,0.1111111111111111,5,5,0,1987,0.13422784027777793,0.04505167298669325,2.1560843825795626,74.50462222222222,0.10850501965810971,0.8937330809284924,-0.8964694173365981,-0.4945112721641213,-0.15413822604950936,0.7928385266590803,9,1,1,2.1972245773362196,0.4748326660144782,5,0
1:8,0.23809523809523808,22,22,0,1987,1.8085474274761904,1.1321198254315517,3.204105340023003,66.97935238095238,1.9095583998514027,-0.8491718070077371,2.011130660824817,1.1409951784220091,0.804901195137364,3.4884895172999535,21,5,1,3.044522437723423,1.6084508199348002,22,0
1:9,0.1,7,6,0.142857142857143,1987,0.8998756956666668,0.3267421478435018,2.036267432641574,69.38028,0.25859280134088414,-0.2931002546136686,0.43314398574009966,-0.07070473559984645,-0.26378219595371466,0.9514062319908964,10,1,0.857142857142857,2.302585092994046,0.6157967812803146,6,1
1:10,0.4,16,16,0,1987,0.6134268356666667,0.5762781515728354,2.1368073730225103,67.68652,0.25859280134088414,-0.6853868629690608,-0.06429911538187846,0.3047250319220307,-0.17177853367552068,2.537083285309057,10,4,1,2.302585092994046,0.6157967812803146,16,0
1:11,0.125,10,7,0.3,1987,1.2136321292916663,1.1716710965633486,4.110913632845768,73.483775,1.159119491437531,0.6572977568834207,0.9780090389275756,1.200500517548588,1.6347175209460352,1.1099739373227124,16,2,0.7,2.772588722239781,1.2446248138188571,7,3
1:12,0.125,14,14,0,1987,0.7897190006250001,0.04230767831603732,1.9374646029825449,69.582375,1.159119491437531,-0.24629364558075784,0.241847403198718,-0.4986396434848508,-0.35419623576353854,2.219947874645425,16,2,1,2.772588722239781,1.2446248138188571,14,0
1:13,0.5,8,8,0,1987,0.0625,1.1547005383792517,2.3333333333333335,71.2504,-0.6419338887557624,0.14003255760151312,-1.021030985864257,1.1749681189425625,0.00806151807731649,1.2685416426545284,4,2,1,1.3862943611198906,-0.6101284293024175,8,0
1:14,0,0,0,NA,1987,0.08333333333333333,0.7071067811865438,1.4999999999999964,75.71506666666667,-0.7920216704385368,1.174080441660673,-0.9848521093274776,0.5015581993488701,-0.7545181917839365,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
